"filename", "language", "TypeScript", "JSON", "JSON with Comments", "Markdown", "HTML", "Batch", "JavaScript", "vue", "PowerShell", "Properties", "Python", "pip requirements", "reStructuredText", "XML", "CSS", "C", "comment", "blank", "total"
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\urllib3\poolmanager.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 267, 0, 0, 0, 0, 0, 191, 80, 538
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\urllib3\request.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 76, 22, 171
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\urllib3\response.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 534, 0, 0, 0, 0, 0, 233, 113, 880
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\urllib3\util\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 1, 3, 50
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\urllib3\util\connection.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 42, 29, 150
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\urllib3\util\proxy.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 18, 10, 58
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\urllib3\util\queue.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 8, 23
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\urllib3\util\request.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 54, 19, 138
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\urllib3\util\response.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 45, 19, 108
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\urllib3\util\retry.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 344, 0, 0, 0, 0, 0, 203, 74, 621
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\urllib3\util\ssl_.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 0, 149, 75, 496
